Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,OriginWac,Dest,DestCityName,DestStateName,DestWac,CRSDepTime,DepDelay,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Flights,Distance,DistanceGroup
2016,1,17,7,2016-01-17,AA,LAX,"Los Angeles, CA",California,91,PHL,"Philadelphia, PA",Pennsylvania,23,2155,150.0,1.0,10.0,2100-2159,29.0,603,159.0,1.0,10.0,0600-0659,1.0,2402.0,10
2016,1,22,5,2016-01-22,AA,DFW,"Dallas/Fort Worth, TX",Texas,74,JFK,"New York, NY",New York,22,700,0.0,0.0,-1.0,0700-0759,15.0,1130,0.0,0.0,-2.0,1100-1159,1.0,1391.0,6
2016,1,26,2,2016-01-26,EV,ATL,"Atlanta, GA",Georgia,34,FAY,"Fayetteville, NC",North Carolina,36,1153,0.0,0.0,-1.0,1100-1159,11.0,1303,0.0,0.0,-1.0,1300-1359,1.0,331.0,2
2016,1,31,7,2016-01-31,AA,PHX,"Phoenix, AZ",Arizona,81,ORD,"Chicago, IL",Illinois,41,1435,1.0,0.0,0.0,1400-1459,12.0,1905,0.0,0.0,-1.0,1900-1959,1.0,1440.0,6
2016,1,8,5,2016-01-08,DL,ATL,"Atlanta, GA",Georgia,34,PIT,"Pittsburgh, PA",Pennsylvania,23,1305,9.0,0.0,0.0,1300-1359,16.0,1445,0.0,0.0,-1.0,1400-1459,1.0,526.0,3
2016,1,30,6,2016-01-30,DL,MSP,"Minneapolis, MN",Minnesota,63,LGA,"New York, NY",New York,22,1120,0.0,0.0,-1.0,1100-1159,13.0,1458,0.0,0.0,-1.0,1400-1459,1.0,1020.0,5
2016,1,26,2,2016-01-26,AA,CLT,"Charlotte, NC",North Carolina,36,MCI,"Kansas City, MO",Missouri,64,1949,1.0,0.0,0.0,1900-1959,25.0,2122,2.0,0.0,0.0,2100-2159,1.0,808.0,4
2016,1,28,4,2016-01-28,WN,SEA,"Seattle, WA",Washington,93,SAN,"San Diego, CA",California,91,1140,0.0,0.0,-1.0,1100-1159,18.0,1415,0.0,0.0,-1.0,1400-1459,1.0,1050.0,5
2016,1,26,2,2016-01-26,NK,ORD,"Chicago, IL",Illinois,41,OAK,"Oakland, CA",California,91,1520,23.0,1.0,1.0,1500-1559,12.0,1756,0.0,0.0,-1.0,1700-1759,1.0,1836.0,8
2016,1,1,5,2016-01-01,OO,DTW,"Detroit, MI",Michigan,43,CVG,"Cincinnati, OH",Kentucky,52,835,0.0,0.0,-1.0,0800-0859,17.0,956,0.0,0.0,-2.0,0900-0959,1.0,229.0,1
