OP_UNIQUE_CARRIER,Description,N/A(PCT_ONTIME_DEP),Year
9E,Endeavor Air Inc.,81.82,2010
AA,American Airlines Inc.,80.96,2010
AS,Alaska Airlines Inc.,89.85,2010
B6,JetBlue Airways,77.23,2010
CO,Continental Air Lines Inc.,83.52,2010
DL,Delta Air Lines Inc.,79.55,2010
EV,ExpressJet Airlines LLC d/b/a aha!,79.5,2010
F9,Frontier Airlines Inc.,83.6,2010
FL,AirTran Airways Corporation,84.97,2010
HA,Hawaiian Airlines Inc.,95.19,2010
MQ,Envoy Air,79.26,2010
OH,PSA Airlines Inc.,77.78,2010
OO,SkyWest Airlines Inc.,81.5,2010
UA,United Air Lines Inc.,85.05,2010
US,US Airways Inc.,87.5,2010
WN,Southwest Airlines Co.,75.79,2010
XE,ExpressJet Airlines Inc.,81.52,2010
YV,Mesa Airlines Inc.,85.11,2010
AA,American Airlines Inc.,79.27,2011
AS,Alaska Airlines Inc.,90.39,2011
B6,JetBlue Airways,76.13,2011
CO,Continental Air Lines Inc.,80.86,2011
DL,Delta Air Lines Inc.,84.04,2011
EV,ExpressJet Airlines LLC d/b/a aha!,76.28,2011
F9,Frontier Airlines Inc.,80.9,2011
FL,AirTran Airways Corporation,87.25,2011
HA,Hawaiian Airlines Inc.,94.57,2011
MQ,Envoy Air,79.2,2011
OO,SkyWest Airlines Inc.,81.79,2011
UA,United Air Lines Inc.,82.05,2011
US,US Airways Inc.,85.08,2011
WN,Southwest Airlines Co.,77.8,2011
XE,ExpressJet Airlines Inc.,77.91,2011
YV,Mesa Airlines Inc.,85.14,2011
AA,American Airlines Inc.,79.51,2012
AS,Alaska Airlines Inc.,89.49,2012
B6,JetBlue Airways,80.4,2012
DL,Delta Air Lines Inc.,87.54,2012
EV,ExpressJet Airlines LLC d/b/a aha!,77.15,2012
F9,Frontier Airlines Inc.,80.2,2012
FL,AirTran Airways Corporation,89.44,2012
HA,Hawaiian Airlines Inc.,95.15,2012
MQ,Envoy Air,83.22,2012
OO,SkyWest Airlines Inc.,83.11,2012
UA,United Air Lines Inc.,76.83,2012
US,US Airways Inc.,89.2,2012
VX,Virgin America,83.92,2012
WN,Southwest Airlines Co.,80.42,2012
YV,Mesa Airlines Inc.,86.66,2012
9E,Endeavor Air Inc.,82.62,2013
AA,American Airlines Inc.,77.99,2013
AS,Alaska Airlines Inc.,90.68,2013
B6,JetBlue Airways,76.84,2013
DL,Delta Air Lines Inc.,85.77,2013
EV,ExpressJet Airlines LLC d/b/a aha!,73.93,2013
F9,Frontier Airlines Inc.,76.2,2013
FL,AirTran Airways Corporation,80.62,2013
HA,Hawaiian Airlines Inc.,95.38,2013
MQ,Envoy Air,74.61,2013
OO,SkyWest Airlines Inc.,81.64,2013
UA,United Air Lines Inc.,78.75,2013
US,US Airways Inc.,86.39,2013
VX,Virgin America,83.07,2013
WN,Southwest Airlines Co.,73.48,2013
YV,Mesa Airlines Inc.,80.46,2013
AA,American Airlines Inc.,78.11,2014
AS,Alaska Airlines Inc.,89.18,2014
B6,JetBlue Airways,77.63,2014
DL,Delta Air Lines Inc.,84.71,2014
EV,ExpressJet Airlines LLC d/b/a aha!,72.45,2014
F9,Frontier Airlines Inc.,78.16,2014
FL,AirTran Airways Corporation,80.12,2014
HA,Hawaiian Airlines Inc.,94.73,2014
MQ,Envoy Air,73.44,2014
OO,SkyWest Airlines Inc.,78.91,2014
UA,United Air Lines Inc.,75.06,2014
US,US Airways Inc.,84.69,2014
VX,Virgin America,82.94,2014
WN,Southwest Airlines Co.,70.24,2014
AA,American Airlines Inc.,81.49,2015
AS,Alaska Airlines Inc.,88.78,2015
B6,JetBlue Airways,76.81,2015
DL,Delta Air Lines Inc.,85.49,2015
EV,ExpressJet Airlines LLC d/b/a aha!,80.44,2015
F9,Frontier Airlines Inc.,76.5,2015
HA,Hawaiian Airlines Inc.,92.46,2015
MQ,Envoy Air,75.93,2015
NK,Spirit Air Lines,71.41,2015
OO,SkyWest Airlines Inc.,81.94,2015
UA,United Air Lines Inc.,75.39,2015
US,US Airways Inc.,83.33,2015
VX,Virgin America,81.34,2015
WN,Southwest Airlines Co.,77.71,2015
AA,American Airlines Inc.,82.0,2016
AS,Alaska Airlines Inc.,90.01,2016
B6,JetBlue Airways,75.08,2016
DL,Delta Air Lines Inc.,85.7,2016
EV,ExpressJet Airlines LLC d/b/a aha!,81.08,2016
F9,Frontier Airlines Inc.,77.35,2016
HA,Hawaiian Airlines Inc.,93.73,2016
NK,Spirit Air Lines,75.47,2016
OO,SkyWest Airlines Inc.,84.16,2016
