OP_UNIQUE_CARRIER,Description,Sum(ARR_DELAY_NEW),Year
9E,Endeavor Air Inc.,2908135,2010
AA,American Airlines Inc.,6176587,2010
AS,Alaska Airlines Inc.,892509,2010
B6,JetBlue Airways,2935949,2010
CO,Continental Air Lines Inc.,2425284,2010
DL,Delta Air Lines Inc.,9169167,2010
EV,ExpressJet Airlines LLC d/b/a aha!,4167454,2010
F9,Frontier Airlines Inc.,847058,2010
FL,AirTran Airways Corporation,2531138,2010
HA,Hawaiian Airlines Inc.,306152,2010
MQ,Envoy Air,5303681,2010
OH,PSA Airlines Inc.,2096228,2010
OO,SkyWest Airlines Inc.,6986819,2010
UA,United Air Lines Inc.,2900848,2010
US,US Airways Inc.,3443417,2010
WN,Southwest Airlines Co.,11507620,2010
XE,ExpressJet Airlines Inc.,4837239,2010
YV,Mesa Airlines Inc.,1622973,2010
AA,American Airlines Inc.,6562831,2011
AS,Alaska Airlines Inc.,920648,2011
B6,JetBlue Airways,3596360,2011
CO,Continental Air Lines Inc.,3013603,2011
DL,Delta Air Lines Inc.,7211666,2011
EV,ExpressJet Airlines LLC d/b/a aha!,5100909,2011
F9,Frontier Airlines Inc.,988882,2011
FL,AirTran Airways Corporation,2274682,2011
HA,Hawaiian Airlines Inc.,288976,2011
MQ,Envoy Air,5487641,2011
OO,SkyWest Airlines Inc.,6594551,2011
UA,United Air Lines Inc.,3635957,2011
US,US Airways Inc.,4199292,2011
WN,Southwest Airlines Co.,11538554,2011
XE,ExpressJet Airlines Inc.,6158861,2011
YV,Mesa Airlines Inc.,1469555,2011
AA,American Airlines Inc.,6881062,2012
AS,Alaska Airlines Inc.,1028648,2012
B6,JetBlue Airways,3006301,2012
DL,Delta Air Lines Inc.,5872419,2012
EV,ExpressJet Airlines LLC d/b/a aha!,10932754,2012
F9,Frontier Airlines Inc.,942284,2012
FL,AirTran Airways Corporation,1590516,2012
HA,Hawaiian Airlines Inc.,324501,2012
MQ,Envoy Air,4955693,2012
OO,SkyWest Airlines Inc.,6321290,2012
UA,United Air Lines Inc.,7056699,2012
US,US Airways Inc.,2854288,2012
VX,Virgin America,681690,2012
WN,Southwest Airlines Co.,10210724,2012
YV,Mesa Airlines Inc.,1136646,2012
9E,Endeavor Air Inc.,3396102,2013
AA,American Airlines Inc.,7001733,2013
AS,Alaska Airlines Inc.,1061449,2013
B6,JetBlue Airways,3884345,2013
DL,Delta Air Lines Inc.,7458635,2013
EV,ExpressJet Airlines LLC d/b/a aha!,12635183,2013
F9,Frontier Airlines Inc.,1253363,2013
FL,AirTran Airways Corporation,2036649,2013
HA,Hawaiian Airlines Inc.,315836,2013
MQ,Envoy Air,7093606,2013
OO,SkyWest Airlines Inc.,7265192,2013
UA,United Air Lines Inc.,6373322,2013
US,US Airways Inc.,3976730,2013
VX,Virgin America,751988,2013
WN,Southwest Airlines Co.,13390305,2013
YV,Mesa Airlines Inc.,1878436,2013
AA,American Airlines Inc.,7816373,2014
AS,Alaska Airlines Inc.,1209340,2014
B6,JetBlue Airways,3508340,2014
DL,Delta Air Lines Inc.,7845330,2014
EV,ExpressJet Airlines LLC d/b/a aha!,11550625,2014
