Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,Dest,DestCityName,DestStateName,CRSDepTime,DepDelay,DepDel15,DepTimeBlk,TaxiOut,CRSArrTime,ArrTimeBlk,Flights,Distance,Day Average Temp,High Temp,Low Temp,Max Wind Speed,Precipitation,Sea Level Pressure,Imputed Precipitation
2016,1,17,7,2016-01-17,AA,LAX,"Los Angeles, CA",California,PHL,"Philadelphia, PA",Pennsylvania,2155,150.0,1.0,2100-2159,29.0,603,0600-0659,1.0,2402.0,57.14,63.0,52.0,17.0,1.4000000000000001,30.08,1.0
2016,1,22,5,2016-01-22,AA,DFW,"Dallas/Fort Worth, TX",Texas,JFK,"New York, NY",New York,700,-4.0,0.0,0700-0759,15.0,1130,1100-1159,1.0,1391.0,39.6,48.0,32.0,28.0,0.19,29.69,0.0
2016,1,26,2,2016-01-26,EV,ATL,"Atlanta, GA",Georgia,FAY,"Fayetteville, NC",North Carolina,1153,-4.0,0.0,1100-1159,11.0,1303,1300-1359,1.0,331.0,49.63,61.0,40.0,13.0,0.12000000000000001,29.11,1.0
2016,1,31,7,2016-01-31,AA,PHX,"Phoenix, AZ",Arizona,ORD,"Chicago, IL",Illinois,1435,1.0,0.0,1400-1459,12.0,1905,1900-1959,1.0,1440.0,61.78,74.0,50.0,29.0,0.38,28.71,1.0
2016,1,8,5,2016-01-08,DL,ATL,"Atlanta, GA",Georgia,PIT,"Pittsburgh, PA",Pennsylvania,1305,9.0,0.0,1300-1359,16.0,1445,1400-1459,1.0,526.0,50.63,54.0,48.0,14.0,0.21,28.95,0.0
2016,1,30,6,2016-01-30,DL,MSP,"Minneapolis, MN",Minnesota,LGA,"New York, NY",New York,1120,-1.0,0.0,1100-1159,13.0,1458,1400-1459,1.0,1020.0,35.92,43.0,31.0,9.0,0.01,28.69,0.0
2016,1,26,2,2016-01-26,AA,CLT,"Charlotte, NC",North Carolina,MCI,"Kansas City, MO",Missouri,1949,1.0,0.0,1900-1959,25.0,2122,2100-2159,1.0,808.0,46.54,58.0,31.0,9.0,0.02,29.44,1.0
2016,1,28,4,2016-01-28,WN,SEA,"Seattle, WA",Washington,SAN,"San Diego, CA",California,1140,-4.0,0.0,1100-1159,18.0,1415,1400-1459,1.0,1050.0,51.53,56.0,46.0,20.0,1.03,29.61,0.0
2016,1,26,2,2016-01-26,NK,ORD,"Chicago, IL",Illinois,OAK,"Oakland, CA",California,1520,23.0,1.0,1500-1559,12.0,1756,1700-1759,1.0,1836.0,30.06,36.0,25.0,25.0,0.15,29.48,0.0
2016,1,1,5,2016-01-01,OO,DTW,"Detroit, MI",Michigan,CVG,"Cincinnati, OH",Kentucky,835,-4.0,0.0,0800-0859,17.0,956,0900-0959,1.0,229.0,29.52,32.0,28.0,21.0,0.03,29.48,1.0
2016,1,17,7,2016-01-17,AA,ORD,"Chicago, IL",Illinois,BOS,"Boston, MA",Massachusetts,1719,1.0,0.0,1700-1759,17.0,2032,2000-2059,1.0,867.0,2.5,7.0,-1.0,22.0,0.045,29.49,1.0
2016,1,12,2,2016-01-12,DL,LAS,"Las Vegas, NV",Nevada,DTW,"Detroit, MI",Michigan,2315,1.0,0.0,2300-2359,18.0,611,0600-0659,1.0,1749.0,42.96,53.0,34.0,7.0,0.095,28.04,1.0
2016,1,15,5,2016-01-15,EV,ATL,"Atlanta, GA",Georgia,EYW,"Key West, FL",Florida,1915,776.0,1.0,1900-1959,18.0,2103,2100-2159,1.0,646.0,44.89,51.0,40.0,20.0,0.5,28.88,0.0
