Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,Dest,DestCityName,DestStateName,CRSDepTime,DepDelay,DepDel15,DepTimeBlk,TaxiOut,CRSArrTime,ArrTimeBlk,Flights,Distance
2016,1,7,4,2016-01-07,DL,BOS,"Boston, MA",Massachusetts,LGA,"New York, NY",New York,1100,-9.00,0.00,1100-1159,18.00,1220,1200-1259,1.00,184.00
2016,1,29,5,2016-01-29,AA,SAT,"San Antonio, TX",Texas,DFW,"Dallas/Fort Worth, TX",Texas,1430,1.00,0.00,1400-1459,11.00,1537,1500-1559,1.00,247.00
2016,1,17,7,2016-01-17,AA,LAX,"Los Angeles, CA",California,PHL,"Philadelphia, PA",Pennsylvania,2155,150.00,1.00,2100-2159,29.00,0603,0600-0659,1.00,2402.00
2016,1,23,6,2016-01-23,HA,PDX,"Portland, OR",Oregon,HNL,"Honolulu, HI",Hawaii,1025,-5.00,0.00,1000-1059,13.00,1440,1400-1459,1.00,2603.00
2016,1,8,5,2016-01-08,UA,FLL,"Fort Lauderdale, FL",Florida,EWR,"Newark, NJ",New Jersey,2015,-5.00,0.00,2000-2059,12.00,2314,2300-2359,1.00,1065.00
2016,1,22,5,2016-01-22,AA,DFW,"Dallas/Fort Worth, TX",Texas,JFK,"New York, NY",New York,0700,-4.00,0.00,0700-0759,15.00,1130,1100-1159,1.00,1391.00
2016,1,26,2,2016-01-26,EV,ATL,"Atlanta, GA",Georgia,FAY,"Fayetteville, NC",North Carolina,1153,-4.00,0.00,1100-1159,11.00,1303,1300-1359,1.00,331.00
2016,1,31,7,2016-01-31,AA,PHX,"Phoenix, AZ",Arizona,ORD,"Chicago, IL",Illinois,1435,1.00,0.00,1400-1459,12.00,1905,1900-1959,1.00,1440.00
2016,1,8,5,2016-01-08,DL,ATL,"Atlanta, GA",Georgia,PIT,"Pittsburgh, PA",Pennsylvania,1305,9.00,0.00,1300-1359,16.00,1445,1400-1459,1.00,526.00
2016,1,4,1,2016-01-04,B6,PBI,"West Palm Beach/Palm Beach, FL",Florida,BOS,"Boston, MA",Massachusetts,1835,18.00,1.00,1800-1859,10.00,2130,2100-2159,1.00,1197.00
2016,1,21,4,2016-01-21,WN,SNA,"Santa Ana, CA",California,SEA,"Seattle, WA",Washington,2010,-2.00,0.00,2000-2059,8.00,2255,2200-2259,1.00,978.00
2016,1,30,6,2016-01-30,DL,MSP,"Minneapolis, MN",Minnesota,LGA,"New York, NY",New York,1120,-1.00,0.00,1100-1159,13.00,1458,1400-1459,1.00,1020.00
2016,1,22,5,2016-01-22,WN,HOU,"Houston, TX",Texas,CRP,"Corpus Christi, TX",Texas,1745,-8.00,0.00,1700-1759,12.00,1840,1800-1859,1.00,187.00
2016,1,9,6,2016-01-09,UA,LAS,"Las Vegas, NV",Nevada,IAH,"Houston, TX",Texas,0030,18.00,1.00,0001-0559,14.00,0523,0001-0559,1.00,1222.00
2016,1,26,2,2016-01-26,AA,CLT,"Charlotte, NC",North Carolina,MCI,"Kansas City, MO",Missouri,1949,1.00,0.00,1900-1959,25.00,2122,2100-2159,1.00,808.00
2016,1,28,4,2016-01-28,WN,OAK,"Oakland, CA",California,BOI,"Boise, ID",Idaho,0910,-4.00,0.00,0900-0959,15.00,1140,1100-1159,1.00,512.00
2016,1,8,5,2016-01-08,OO,STL,"St. Louis, MO",Missouri,PDX,"Portland, OR",Oregon,1645,-8.00,0.00,1600-1659,13.00,1915,1900-1959,1.00,1708.00
2016,1,23,6,2016-01-23,OO,DLH,"Duluth, MN",Minnesota,MSP,"Minneapolis, MN",Minnesota,0510,0.00,0.00,0001-0559,25.00,0619,0600-0659,1.00,144.00
2016,1,28,4,2016-01-28,WN,SEA,"Seattle, WA",Washington,SAN,"San Diego, CA",California,1140,-4.00,0.00,1100-1159,18.00,1415,1400-1459,1.00,1050.00
2016,1,25,1,2016-01-25,OO,SFO,"San Francisco, CA",California,STL,"St. Louis, MO",Missouri,1110,-1.00,0.00,1100-1159,31.00,1710,1700-1759,1.00,1735.00
2016,1,26,2,2016-01-26,NK,ORD,"Chicago, IL",Illinois,OAK,"Oakland, CA",California,1520,23.00,1.00,1500-1559,12.00,1756,1700-1759,1.00,1836.00
2016,1,23,6,2016-01-23,AA,JFK,"New York, NY",New York,LAX,"Los Angeles, CA",California,1230,,,1200-1259,,1554,1500-1559,1.00,2475.00
2016,1,1,5,2016-01-01,OO,DTW,"Detroit, MI",Michigan,CVG,"Cincinnati, OH",Kentucky,0835,-4.00,0.00,0800-0859,17.00,0956,0900-0959,1.00,229.00
2016,1,15,5,2016-01-15,EV,IND,"Indianapolis, IN",Indiana,ORD,"Chicago, IL",Illinois,1237,-1.00,0.00,1200-1259,9.00,1250,1200-1259,1.00,177.00
2016,1,23,6,2016-01-23,B6,CHS,"Charleston, SC",South Carolina,BOS,"Boston, MA",Massachusetts,1535,0.00,0.00,1500-1559,13.00,1744,1700-1759,1.00,818.00
2016,1,17,7,2016-01-17,AA,ORD,"Chicago, IL",Illinois,BOS,"Boston, MA",Massachusetts,1719,1.00,0.00,1700-1759,17.00,2032,2000-2059,1.00,867.00
2016,1,12,2,2016-01-12,DL,LAS,"Las Vegas, NV",Nevada,DTW,"Detroit, MI",Michigan,2315,1.00,0.00,2300-2359,18.00,0611,0600-0659,1.00,1749.00
2016,1,4,1,2016-01-04,UA,JAC,"Jackson, WY",Wyoming,DEN,"Denver, CO",Colorado,0708,-12.00,0.00,0700-0759,37.00,0857,0800-0859,1.00,406.00
2016,1,27,3,2016-01-27,DL,SRQ,"Sarasota/Bradenton, FL",Florida,ATL,"Atlanta, GA",Georgia,0700,206.00,1.00,0700-0759,16.00,0840,0800-0859,1.00,444.00
2016,1,22,5,2016-01-22,UA,SFO,"San Francisco, CA",California,SAN,"San Diego, CA",California,0646,-3.00,0.00,0600-0659,16.00,0820,0800-0859,1.00,447.00
2016,1,5,2,2016-01-05,WN,SEA,"Seattle, WA",Washington,OAK,"Oakland, CA",California,1440,10.00,0.00,1400-1459,12.00,1640,1600-1659,1.00,672.00
2016,1,3,7,2016-01-03,HA,OGG,"Kahului, HI",Hawaii,HNL,"Honolulu, HI",Hawaii,0849,-4.00,0.00,0800-0859,8.00,0924,0900-0959,1.00,100.00
2016,1,15,5,2016-01-15,EV,ATL,"Atlanta, GA",Georgia,EYW,"Key West, FL",Florida,1915,776.00,1.00,1900-1959,18.00,2103,2100-2159,1.00,646.00
2016,1,7,4,2016-01-07,WN,AUS,"Austin, TX",Texas,BNA,"Nashville, TN",Tennessee,0705,-2.00,0.00,0700-0759,,0900,0900-0959,1.00,756.00
2016,1,18,1,2016-01-18,NK,LAS,"Las Vegas, NV",Nevada,DTW,"Detroit, MI",Michigan,1050,56.00,1.00,1000-1059,19.00,1745,1700-1759,1.00,1749.00
2016,1,18,1,2016-01-18,AA,EWR,"Newark, NJ",New Jersey,MIA,"Miami, FL",Florida,0755,-7.00,0.00,0700-0759,32.00,1115,1100-1159,1.00,1085.00
2016,1,11,1,2016-01-11,WN,LAS,"Las Vegas, NV",Nevada,DAL,"Dallas, TX",Texas,1200,-1.00,0.00,1200-1259,13.00,1640,1600-1659,1.00,1067.00
2016,1,25,1,2016-01-25,DL,ATL,"Atlanta, GA",Georgia,PHX,"Phoenix, AZ",Arizona,1636,-1.00,0.00,1600-1659,16.00,1859,1800-1859,1.00,1587.00
2016,1,25,1,2016-01-25,WN,ABQ,"Albuquerque, NM",New Mexico,OAK,"Oakland, CA",California,1840,-3.00,0.00,1800-1859,16.00,2010,2000-2059,1.00,889.00
2016,1,5,2,2016-01-05,EV,MSN,"Madison, WI",Wisconsin,EWR,"Newark, NJ",New Jersey,1918,-11.00,0.00,1900-1959,9.00,2230,2200-2259,1.00,799.00
2016,1,24,7,2016-01-24,AA,BOS,"Boston, MA",Massachusetts,DCA,"Washington, DC",Virginia,1600,,,1600-1659,,1740,1700-1759,1.00,399.00
2016,1,20,3,2016-01-20,EV,BHM,"Birmingham, AL",Alabama,ORD,"Chicago, IL",Illinois,0922,-10.00,0.00,0900-0959,14.00,1133,1100-1159,1.00,584.00
