Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,Dest,DestCityName,DestStateName,CRSDepTime,DepDelay,DepDel15,DepTimeBlk,TaxiOut,ArrTimeBlk,Flights,Distance,Day Average Temp,High Temp,Low Temp,Max Wind Speed,Precipitation,Sea Level Pressure
2016,1,7,4,2016-01-07,DL,BOS,"Boston, MA",Massachusetts,LGA,"New York, NY",New York,1100,-9.0,0.0,1100-1159,18.0,1200-1259,1.0,184.0,,,,,,
2016,1,29,5,2016-01-29,AA,SAT,"San Antonio, TX",Texas,DFW,"Dallas/Fort Worth, TX",Texas,1430,1.0,0.0,1400-1459,11.0,1500-1559,1.0,247.0,,,,,,
2016,1,17,7,2016-01-17,AA,LAX,"Los Angeles, CA",California,PHL,"Philadelphia, PA",Pennsylvania,2155,150.0,1.0,2100-2159,29.0,0600-0659,1.0,2402.0,57.14,63.0,52.0,17.0,,30.08
2016,1,23,6,2016-01-23,HA,PDX,"Portland, OR",Oregon,HNL,"Honolulu, HI",Hawaii,1025,-5.0,0.0,1000-1059,13.0,1400-1459,1.0,2603.0,,,,,,
2016,1,8,5,2016-01-08,UA,FLL,"Fort Lauderdale, FL",Florida,EWR,"Newark, NJ",New Jersey,2015,-5.0,0.0,2000-2059,12.0,2300-2359,1.0,1065.0,,,,,,
2016,1,22,5,2016-01-22,AA,DFW,"Dallas/Fort Worth, TX",Texas,JFK,"New York, NY",New York,700,-4.0,0.0,0700-0759,15.0,1100-1159,1.0,1391.0,39.6,48.0,32.0,28.0,0.19,29.69
2016,1,26,2,2016-01-26,EV,ATL,"Atlanta, GA",Georgia,FAY,"Fayetteville, NC",North Carolina,1153,-4.0,0.0,1100-1159,11.0,1300-1359,1.0,331.0,49.63,61.0,40.0,13.0,,29.11
2016,1,31,7,2016-01-31,AA,PHX,"Phoenix, AZ",Arizona,ORD,"Chicago, IL",Illinois,1435,1.0,0.0,1400-1459,12.0,1900-1959,1.0,1440.0,61.78,74.0,50.0,29.0,,28.71
2016,1,8,5,2016-01-08,DL,ATL,"Atlanta, GA",Georgia,PIT,"Pittsburgh, PA",Pennsylvania,1305,9.0,0.0,1300-1359,16.0,1400-1459,1.0,526.0,50.63,54.0,48.0,14.0,0.21,28.95
2016,1,4,1,2016-01-04,B6,PBI,"West Palm Beach/Palm Beach, FL",Florida,BOS,"Boston, MA",Massachusetts,1835,18.0,1.0,1800-1859,10.0,2100-2159,1.0,1197.0,,,,,,
2016,1,21,4,2016-01-21,WN,SNA,"Santa Ana, CA",California,SEA,"Seattle, WA",Washington,2010,-2.0,0.0,2000-2059,8.0,2200-2259,1.0,978.0,,,,,,
2016,1,30,6,2016-01-30,DL,MSP,"Minneapolis, MN",Minnesota,LGA,"New York, NY",New York,1120,-1.0,0.0,1100-1159,13.0,1400-1459,1.0,1020.0,35.92,43.0,31.0,9.0,0.01,28.69
2016,1,22,5,2016-01-22,WN,HOU,"Houston, TX",Texas,CRP,"Corpus Christi, TX",Texas,1745,-8.0,0.0,1700-1759,12.0,1800-1859,1.0,187.0,,,,,,
2016,1,9,6,2016-01-09,UA,LAS,"Las Vegas, NV",Nevada,IAH,"Houston, TX",Texas,30,18.0,1.0,0001-0559,14.0,0001-0559,1.0,1222.0,,,,,,
2016,1,26,2,2016-01-26,AA,CLT,"Charlotte, NC",North Carolina,MCI,"Kansas City, MO",Missouri,1949,1.0,0.0,1900-1959,25.0,2100-2159,1.0,808.0,46.54,58.0,31.0,9.0,,29.44
2016,1,28,4,2016-01-28,WN,OAK,"Oakland, CA",California,BOI,"Boise, ID",Idaho,910,-4.0,0.0,0900-0959,15.0,1100-1159,1.0,512.0,,,,,,
2016,1,8,5,2016-01-08,OO,STL,"St. Louis, MO",Missouri,PDX,"Portland, OR",Oregon,1645,-8.0,0.0,1600-1659,13.0,1900-1959,1.0,1708.0,,,,,,
2016,1,23,6,2016-01-23,OO,DLH,"Duluth, MN",Minnesota,MSP,"Minneapolis, MN",Minnesota,510,0.0,0.0,0001-0559,25.0,0600-0659,1.0,144.0,,,,,,
2016,1,28,4,2016-01-28,WN,SEA,"Seattle, WA",Washington,SAN,"San Diego, CA",California,1140,-4.0,0.0,1100-1159,18.0,1400-1459,1.0,1050.0,51.53,56.0,46.0,20.0,1.03,29.61
2016,1,25,1,2016-01-25,OO,SFO,"San Francisco, CA",California,STL,"St. Louis, MO",Missouri,1110,-1.0,0.0,1100-1159,31.0,1700-1759,1.0,1735.0,,,,,,
