ORIGIN,Description,N/A(PCT_ONTIME_DEP),Year
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",83.01,2010
ABI,"Abilene, TX: Abilene Regional",85.14,2010
ABQ,"Albuquerque, NM: Albuquerque International Sunport",82.78,2010
ABR,"Aberdeen, SD: Aberdeen Regional",60.0,2010
ABY,"Albany, GA: Southwest Georgia Regional",84.53,2010
ACK,"Nantucket, MA: Nantucket Memorial",77.75,2010
ACT,"Waco, TX: Waco Regional",94.12,2010
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",62.64,2010
ACY,"Atlantic City, NJ: Atlantic City International",86.43,2010
ADK,"Adak Island, AK: Adak",68.93,2010
ADQ,"Kodiak, AK: Kodiak Airport",80.6,2010
AEX,"Alexandria, LA: Alexandria International",84.56,2010
AGS,"Augusta, GA: Augusta Regional at Bush Field",79.98,2010
AKN,"King Salmon, AK: King Salmon Airport",83.12,2010
ALB,"Albany, NY: Albany International",83.47,2010
ALO,"Waterloo, IA: Waterloo Regional",84.68,2010
AMA,"Amarillo, TX: Rick Husband Amarillo International",80.46,2010
ANC,"Anchorage, AK: Ted Stevens Anchorage International",89.51,2010
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field",73.71,2010
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",79.05,2010
ATW,"Appleton, WI: Appleton International",82.29,2010
AUS,"Austin, TX: Austin - Bergstrom International",84.2,2010
AVL,"Asheville, NC: Asheville Regional",80.78,2010
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",80.68,2010
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",85.58,2010
BDL,"Hartford, CT: Bradley International",83.74,2010
BET,"Bethel, AK: Bethel Airport",79.32,2010
BFL,"Bakersfield, CA: Meadows Field",83.11,2010
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",87.63,2010
BGR,"Bangor, ME: Bangor International",82.32,2010
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",81.75,2010
BIL,"Billings, MT: Billings Logan International",89.44,2010
BIS,"Bismarck/Mandan, ND: Bismarck Municipal",85.26,2010
BJI,"Bemidji, MN: Bemidji Regional",93.15,2010
BKG,"Branson, MO: Branson Airport",84.28,2010
BLI,"Bellingham, WA: Bellingham International",89.22,2010
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",82.21,2010
BNA,"Nashville, TN: Nashville International",78.26,2010
BOI,"Boise, ID: Boise Air Terminal",86.24,2010
BOS,"Boston, MA: Logan International",81.11,2010
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional",100.0,2010
BQK,"Brunswick, GA: Brunswick Golden Isles",87.25,2010
BQN,"Aguadilla, PR: Rafael Hernandez",85.11,2010
BRO,"Brownsville, TX: Brownsville South Padre Island International",86.77,2010
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",70.67,2010
BTM,"Butte, MT: Bert Mooney",90.92,2010
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",82.22,2010
BTV,"Burlington, VT: Burlington International",76.97,2010
BUF,"Buffalo, NY: Buffalo Niagara International",82.25,2010
BUR,"Burbank, CA: Bob Hope",83.23,2010
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",75.45,2010
BZN,"Bozeman, MT: Bozeman Yellowstone International",87.69,2010
CAE,"Columbia, SC: Columbia Metropolitan",79.92,2010
CAK,"Akron, OH: Akron-Canton Regional",82.85,2010
CDC,"Cedar City, UT: Cedar City Regional",86.28,2010
CDV,"Cordova, AK: Merle K Mudhole Smith",83.24,2010
CEC,"Crescent City, CA: Jack McNamara Field",60.12,2010
CHA,"Chattanooga, TN: Lovell Field",81.95,2010
CHO,"Charlottesville, VA: Charlottesville Albemarle",84.8,2010
CHS,"Charleston, SC: Charleston AFB/International",79.39,2010
CIC,"Chico, CA: Chico Municipal",74.07,2010
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",82.18,2010
CLD,"Carlsbad, CA: McClellan-Palomar",86.74,2010
CLE,"Cleveland, OH: Cleveland-Hopkins International",85.25,2010
CLL,"College Station/Bryan, TX: Easterwood Field",82.05,2010
CLT,"Charlotte, NC: Charlotte Douglas International",83.44,2010
CMH,"Columbus, OH: John Glenn Columbus International",82.05,2010
CMI,"Champaign/Urbana, IL: University of Illinois/Willard",83.61,2010
CMX,"Hancock/Houghton, MI: Houghton County Memorial",84.94,2010
COD,"Cody, WY: Yellowstone Regional",84.28,2010
COS,"Colorado Springs, CO: City of Colorado Springs Municipal",84.3,2010
COU,"Columbia, MO: Columbia Regional",87.26,2010
CPR,"Casper, WY: Casper/Natrona County International",88.01,2010
CRP,"Corpus Christi, TX: Corpus Christi International",86.47,2010
CRW,"Charleston/Dunbar, WV: Yeager",79.61,2010
CSG,"Columbus, GA: Columbus Airport",82.03,2010
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",80.53,2010
CWA,"Mosinee, WI: Central Wisconsin",80.27,2010
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",76.01,2010
DAB,"Daytona Beach, FL: Daytona Beach International",79.35,2010
DAL,"Dallas, TX: Dallas Love Field",74.6,2010
DAY,"Dayton, OH: James M Cox/Dayton International",85.11,2010
DBQ,"Dubuque, IA: Dubuque Regional",82.69,2010
DCA,"Washington, DC: Ronald Reagan Washington National",83.07,2010
DEN,"Denver, CO: Denver International",80.28,2010
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",78.83,2010
DHN,"Dothan, AL: Dothan Regional",80.98,2010
DLG,"Dillingham, AK: Dillingham Airport",89.47,2010
DLH,"Duluth, MN: Duluth International",84.43,2010
DRO,"Durango, CO: Durango La Plata County",85.93,2010
DSM,"Des Moines, IA: Des Moines International",82.09,2010
DTW,"Detroit, MI: Detroit Metro Wayne County",78.36,2010
EAU,"Eau Claire, WI: Chippewa Valley Regional",81.33,2010
ECP,"Panama City, FL: Northwest Florida Beaches International",84.29,2010
EGE,"Eagle, CO: Eagle County Regional",83.09,2010
EKO,"Elko, NV: Elko Regional",86.53,2010
ELM,"Elmira/Corning, NY: Elmira/Corning Regional",85.81,2010
ELP,"El Paso, TX: El Paso International",83.3,2010
ERI,"Erie, PA: Erie International/Tom Ridge Field",82.0,2010
EUG,"Eugene, OR: Mahlon Sweet Field",82.19,2010
EVV,"Evansville, IN: Evansville Regional",84.91,2010
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",82.72,2010
EWR,"Newark, NJ: Newark Liberty International",75.95,2010
EYW,"Key West, FL: Key West International",73.79,2010
FAI,"Fairbanks, AK: Fairbanks International",87.79,2010
FAR,"Fargo, ND: Hector International",84.48,2010
FAT,"Fresno, CA: Fresno Yosemite International",83.89,2010
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",83.01,2010
FCA,"Kalispell, MT: Glacier Park International",89.92,2010
FLG,"Flagstaff, AZ: Flagstaff Pulliam",88.47,2010
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",79.58,2010
FLO,"Florence, SC: Florence Regional",74.2,2010
FNT,"Flint, MI: Bishop International",81.98,2010
FSD,"Sioux Falls, SD: Joe Foss Field",81.61,2010
FSM,"Fort Smith, AR: Fort Smith Regional",83.87,2010
FWA,"Fort Wayne, IN: Fort Wayne International",81.19,2010
GCC,"Gillette, WY: Gillette Campbell County",89.16,2010
GEG,"Spokane, WA: Spokane International",86.68,2010
GFK,"Grand Forks, ND: Grand Forks International",81.53,2010
GGG,"Longview, TX: East Texas Regional",85.79,2010
GJT,"Grand Junction, CO: Grand Junction Regional",87.79,2010
GNV,"Gainesville, FL: Gainesville Regional",80.81,2010
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",81.82,2010
GRB,"Green Bay, WI: Green Bay Austin Straubel International",81.72,2010
GRK,"Killeen, TX: Robert Gray AAF",83.77,2010
GRR,"Grand Rapids, MI: Gerald R. Ford International",81.8,2010
GSO,"Greensboro/High Point, NC: Piedmont Triad International",80.14,2010
GSP,"Greer, SC: Greenville-Spartanburg International",82.45,2010
GST,"Gustavus, AK: Gustavus Airport",78.26,2010
GTF,"Great Falls, MT: Great Falls International",91.1,2010
GTR,"Columbus, MS: Golden Triangle Regional",85.06,2010
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",82.97,2010
GUM,"Guam, TT: Guam International",80.0,2010
HDN,"Hayden, CO: Yampa Valley",85.12,2010
HLN,"Helena, MT: Helena Regional",92.82,2010
HNL,"Honolulu, HI: Daniel K Inouye International",92.01,2010
HOU,"Houston, TX: William P Hobby",70.87,2010
HPN,"White Plains, NY: Westchester County",79.92,2010
HRL,"Harlingen/San Benito, TX: Valley International",85.05,2010
HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",84.87,2010
HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field",90.58,2010
IAD,"Washington, DC: Washington Dulles International",82.2,2010
IAH,"Houston, TX: George Bush Intercontinental/Houston",83.2,2010
ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",85.3,2010
IDA,"Idaho Falls, ID: Idaho Falls Regional",89.6,2010
ILM,"Wilmington, NC: Wilmington International",85.39,2010
IND,"Indianapolis, IN: Indianapolis International",82.09,2010
IPL,"El Centro, CA: Imperial County",90.53,2010
ISP,"Islip, NY: Long Island MacArthur",81.38,2010
ITH,"Ithaca/Cortland, NY: Ithaca Tompkins Regional",82.68,2010
ITO,"Hilo, HI: Hilo International",94.27,2010
IYK,"Inyokern, CA: Inyokern Airport",91.77,2010
JAC,"Jackson, WY: Jackson Hole",83.91,2010
JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",81.72,2010
JAX,"Jacksonville, FL: Jacksonville International",84.47,2010
JFK,"New York, NY: John F. Kennedy International",74.74,2010
JNU,"Juneau, AK: Juneau International",83.17,2010
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",92.86,2010
KTN,"Ketchikan, AK: Ketchikan International",86.09,2010
LAN,"Lansing, MI: Capital Region International",85.26,2010
LAS,"Las Vegas, NV: McCarran International",79.2,2010
LAX,"Los Angeles, CA: Los Angeles International",82.4,2010
LBB,"Lubbock, TX: Lubbock Preston Smith International",82.99,2010
LCH,"Lake Charles, LA: Lake Charles Regional",87.19,2010
LEX,"Lexington, KY: Blue Grass",82.86,2010
LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",86.45,2010
LGA,"New York, NY: LaGuardia",80.28,2010
LGB,"Long Beach, CA: Long Beach Airport",82.18,2010
LIH,"Lihue, HI: Lihue Airport",93.55,2010
LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",81.17,2010
LMT,"Klamath Falls, OR: Crater Lake Klamath Regional",70.99,2010
LNK,"Lincoln, NE: Lincoln Airport",83.08,2010
LRD,"Laredo, TX: Laredo International",84.28,2010
LSE,"La Crosse, WI: La Crosse Regional",85.65,2010
LWB,"Lewisburg, WV: Greenbrier Valley",68.95,2010
LWS,"Lewiston, ID: Lewiston Nez Perce County",93.2,2010
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",82.98,2010
MAF,"Midland/Odessa, TX: Midland International Air and Space Port",84.88,2010
MBS,"Saginaw/Bay City/Midland, MI: MBS International",84.25,2010
MCI,"Kansas City, MO: Kansas City International",81.74,2010
MCO,"Orlando, FL: Orlando International",81.01,2010
MDT,"Harrisburg, PA: Harrisburg International",84.67,2010
MDW,"Chicago, IL: Chicago Midway International",70.1,2010
MEI,"Meridian, MS: Key Field",85.67,2010
MEM,"Memphis, TN: Memphis International",83.91,2010
MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",87.61,2010
MFR,"Medford, OR: Rogue Valley International - Medford",79.73,2010
MGM,"Montgomery, AL: Montgomery Regional",82.8,2010
MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",82.61,2010
